Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A096MIT4	unreviewed	A0A096MIT4_RAT	Interleukin-33	Il33	Rattus norvegicus (Rat)	264
A0A0G2JU23	unreviewed	A0A0G2JU23_RAT	Apolipoprotein A-I	Apoa1	Rattus norvegicus (Rat)	313
A0A0G2JVX7	unreviewed	A0A0G2JVX7_RAT	Apolipoprotein A-IV (Apolipoprotein A4)	Apoa4	Rattus norvegicus (Rat)	392
A0A0G2JXU8	unreviewed	A0A0G2JXU8_RAT	Angiotensin-converting enzyme (EC 3.4.-.-)	Ace2	Rattus norvegicus (Rat)	744
A0A0G2K151	unreviewed	A0A0G2K151_RAT	Apolipoprotein E	Apoe	Rattus norvegicus (Rat)	359
A0A0G2K1L0	unreviewed	A0A0G2K1L0_RAT	Tenascin C	Tnc	Rattus norvegicus (Rat)	2110
A0A0G2K3B7	unreviewed	A0A0G2K3B7_RAT	Protein Wnt	Wnt7b	Rattus norvegicus (Rat)	353
A0A0G2K4P0	unreviewed	A0A0G2K4P0_RAT	Lysyl oxidase homolog (EC 1.4.3.13)	Loxl2	Rattus norvegicus (Rat)	776
A0A0G2K4U1	unreviewed	A0A0G2K4U1_RAT	ATP-binding cassette sub-family B member 6 (EC 7.6.2.5) (ABC-type heme transporter ABCB6)	Abcb6	Rattus norvegicus (Rat)	768
A0A0G2K692	unreviewed	A0A0G2K692_RAT	Periostin	Postn	Rattus norvegicus (Rat)	811
A0A0G2K6Q8	unreviewed	A0A0G2K6Q8_RAT	Protein Wnt	Wnt10b	Rattus norvegicus (Rat)	389
A0A0G2K6S7	unreviewed	A0A0G2K6S7_RAT	Hepatic triacylglycerol lipase (EC 3.1.1.3) (EC 3.1.1.32) (EC 3.1.1.5) (Lipase member C) (Lysophospholipase) (Phospholipase A1)	Lipc	Rattus norvegicus (Rat)	510
A0A0G2K7C1	unreviewed	A0A0G2K7C1_RAT	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6	Rattus norvegicus (Rat)	1219
A0A0G2K845	unreviewed	A0A0G2K845_RAT	Adiponectin, C1Q and collagen domain containing	Adipoq	Rattus norvegicus (Rat)	218
A0A0G2KB42	unreviewed	A0A0G2KB42_RAT	Clusterin	Clu	Rattus norvegicus (Rat)	496
A0A1W2Q5Z7	unreviewed	A0A1W2Q5Z7_RAT	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (EC 2.4.3.2) (EC 2.4.3.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Monosialoganglioside sialyltransferase) (ST3Gal I) (ST3GalA.1) (ST3O) (Sialyltransferase 4A)	St3gal1	Rattus norvegicus (Rat)	345
A0A8I5Y241	unreviewed	A0A8I5Y241_RAT	Platelet-activating factor acetylhydrolase (EC 3.1.1.47)	Pla2g7	Rattus norvegicus (Rat)	418
A0A8I5Y501	unreviewed	A0A8I5Y501_RAT	Natriuretic peptides A (Atrial natriuretic factor prohormone) (Atrial natriuretic peptide prohormone) (Atriopeptigen) (Cardiodilatin) (preproCDD-ANF)	Nppa	Rattus norvegicus (Rat)	199
A0A8I5Y5Q6	unreviewed	A0A8I5Y5Q6_RAT	Periostin	Postn	Rattus norvegicus (Rat)	795
A0A8I5Y6L2	unreviewed	A0A8I5Y6L2_RAT	Periostin	Postn	Rattus norvegicus (Rat)	786
A0A8I5YBK7	unreviewed	A0A8I5YBK7_RAT	Protein Wnt	Wnt5a	Rattus norvegicus (Rat)	391
A0A8I5ZKK9	unreviewed	A0A8I5ZKK9_RAT	Alpha-synuclein	Snca	Rattus norvegicus (Rat)	154
